AF357145_Stentor_coeruleus	Eukaryota;ALVEOLATA;Ciliophora;Heterotrichea;Heterotrichida;Stentoridae;Stentor;Stentor+coeruleus;Stentor;Stentor+coeruleus
U24248_Loxodes_striatus	Eukaryota;ALVEOLATA;Ciliophora;Karyorelictea;Loxodida;Loxodidae;Loxodes;Loxodes+striatus;Loxodes;Loxodes+striatus
L31520_Tracheloraphis_sp	Eukaryota;ALVEOLATA;Ciliophora;Karyorelictea;Protostomatida;Protostomatida_X;Tracheloraphis;Tracheloraphis+sp.;Tracheloraphis;Tracheloraphis+sp.
L26448_Loxophyllum_utriculariae	Eukaryota;ALVEOLATA;Ciliophora;Litostomatea;Haptoria;Litonotidae;Loxophyllum;Loxophyllum+utriculariae;Loxophyllum;Loxophyllum+utriculariae
X03772_Paramecium_tetraurelia	Eukaryota;ALVEOLATA;Ciliophora;Oligohymenophorea;Peniculia;Parameciidae;Paramecium;Paramecium+tetraurelia;Paramecium;Paramecium+tetraurelia
AF401522_Carchesium_polypinum	Eukaryota;ALVEOLATA;Ciliophora;Oligohymenophorea;Sessilida;Vorticellidae;Carchesium;Carchesium+polypinum;Carchesium;Carchesium+polypinum
X56165_Tetrahymena_thermophila	Eukaryota;ALVEOLATA;Ciliophora;Oligohymenophorea;Tetrahymenida;Tetrahymenidae;Tetrahymena;Tetrahymena+thermophila;Tetrahymena;Tetrahymena+thermophila
AF300281_Chilodonella_uncinata	Eukaryota;ALVEOLATA;Ciliophora;Phyllopharyngea;Cyrtophoria;Chilodonellidae;Chilodonella;Chilodonella+uncinata;Chilodonella;Chilodonella+uncinata
U97111_Prorodon_viridis	Eukaryota;ALVEOLATA;Ciliophora;Prostomatea;Prostomatea-3;Prorodontidae;Prorodon;Prorodon+viridis;Prorodon;Prorodon+viridis
X03948_Sterkiella_nova	Eukaryota;ALVEOLATA;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Sterkiella;Sterkiella+nova;Sterkiella;Sterkiella+nova
U27500_Alexandrium_ostenfeldii	Eukaryota;ALVEOLATA;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Alexandrium;Alexandrium+ostenfeldii;Alexandrium;Alexandrium+ostenfeldii
AF080096_Amyloodinium_ocellatum	Eukaryota;ALVEOLATA;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Amyloodinium;Amyloodinium+ocellatum;Amyloodinium;Amyloodinium+ocellatum
AY347309_Cochlodinium_polykrikoides	Eukaryota;ALVEOLATA;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Cochlodinium;Cochlodinium+polykrikoides;Cochlodinium;Cochlodinium+polykrikoides
GU290070_clone_TKR07E_24_Alveolata	Eukaryota;ALVEOLATA;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX+sp.;Uncultured;Uncultured+eukaryote
EU598692_Haplozoon_praxillellae	Eukaryota;ALVEOLATA;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Haplozoon;Haplozoon+praxillellae;Haplozoon;Haplozoon+praxillellae
AF022200_Noctiluca_scintillans	Eukaryota;ALVEOLATA;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Noctiluca;Noctiluca+scintillans;Noctiluca;Noctiluca+scintillans
EU162630_EnvClone_PAC08SP2005	Eukaryota;ALVEOLATA;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Prorocentrum;Prorocentrum+sp.;Uncultured;Uncultured+alveolate
M88521_Symbiodinium_microadriaticum	Eukaryota;ALVEOLATA;Dinophyta;Dinophyceae;Suessiales;Suessiales_X;Symbiodinium;Symbiodinium+microadriaticum;Symbiodinium;Symbiodinium+microadriaticum
AB264776_Ichthyodinium_chabelardi	Eukaryota;ALVEOLATA;Dinophyta;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-3;Ichthyodinium;Ichthyodinium+chabelardi;Ichthyodinium;Ichthyodinium+chabelardi
AJ402327_EnvClone_OLI11001	Eukaryota;ALVEOLATA;Dinophyta;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-5;Dino-Group-I-Clade-5_X;Dino-Group-I-Clade-5_X+sp.;eukaryote;eukaryote+clone
AF472555_Amoebophrya_sp	Eukaryota;ALVEOLATA;Dinophyta;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-2;Dino-Group-II-Clade-2_X;Dino-Group-II-Clade-2_X+sp.;Amoebophrya;Amoebophrya+sp.
AJ402349_EnvClone_OLI11005	Eukaryota;ALVEOLATA;Dinophyta;Syndiniales;Dino-Group-III;Dino-Group-III_X;Dino-Group-III_XX;Dino-Group-III_XX+sp.;eukaryote;eukaryote+clone
EF065717_Hematodinium_perezi_Ld18S1	Eukaryota;ALVEOLATA;Dinophyta;Syndiniales;Dino-Group-IV;Dino-Group-IV-Hematodinium-Group;Hematodinium;Hematodinium+perezi;Hematodinium;Hematodinium+perezi
AF497479_Perkinsus_marinus	Eukaryota;ALVEOLATA;Perkinsea;Perkinsida;Perkinsida_X;Perkinsida_XX;Perkinsus;Perkinsus+marinus;Perkinsus;Perkinsus+marinus
EU273440_Amoebozoa_sp_ATCC50593	Eukaryota;AMOEBOZOA;Conosa;Variosea;ATCC50593-Flamella-WIM80-lineage;ATCC50593-lineage;ATCC50593-lineage_X;ATCC50593-lineage_X+sp.;Arachnula;Arachnula+sp.
EU186021_Flamella_aegyptia	Eukaryota;AMOEBOZOA;Conosa;Variosea;ATCC50593-Flamella-WIM80-lineage;Flamella-lineage;Flamella;Flamella+aegyptia;Flamella;Flamella+aegyptia
AY082989_clone_RT5iin44_Variosea	Eukaryota;AMOEBOZOA;Conosa;Variosea;ATCC50593-Flamella-WIM80-lineage;WIM80-lineage;WIM80-lineage_X;WIM80-lineage_X+sp.;Uncultured;Uncultured+eukaryote
AF293897_Acramoeba_dendroida	Eukaryota;AMOEBOZOA;Conosa;Variosea;Variosea_X;Acramoebidae;Acramoeba;Acramoeba+dendroida;Gephyramoeba;Gephyramoeba+sp.
AY965863_Variosea_sp_AND16	Eukaryota;AMOEBOZOA;Conosa;Variosea;Variosea_X;AND16-lineage;AND16-lineage_X;AND16-lineage_X+sp.;soil;soil+amoeba
